"","tag","start","end","date"
"1","Weightlifting",38016,40963.7647058824,"2017-12-26"
"2","Run",23175.5294117647,25513.4117647059,"2017-12-25"
"3","Walk",24903.5294117647,27241.4117647059,"2017-12-26"
"4","Walk",27648,30494.1176470588,"2017-12-26"
"5","Walk",34255.0588235294,35576.4705882353,"2017-12-24"
"6","Walk",43504.9411764706,45334.5882352941,"2017-12-24"
"7","Walk",46249.4117647059,48282.3529411765,"2017-12-24"
"8","Walk",48485.6470588235,50010.3529411765,"2017-12-24"
"9","Walk",51636.7058823529,53161.4117647059,"2017-12-24"
"10","Run",23378.8235294118,26326.5882352941,"2017-12-19"
"11","Qualifying Exam",35474.8235294118,43200,"2017-12-19"
