temp,month,station_id
876C,Jan,AQW00061705
880C,Feb,AQW00061705
881C,Mar,AQW00061705
875C,Apr,AQW00061705
862C,May,AQW00061705
850C,Jun,AQW00061705
842C,Jul,AQW00061705
843C,Aug,AQW00061705
853C,Sep,AQW00061705
858C,Oct,AQW00061705
866C,Nov,AQW00061705
874C,Dec,AQW00061705
270Q,Jan,CAW00064757
301Q,Feb,CAW00064757
389Q,Mar,CAW00064757
529Q,Apr,CAW00064757
660Q,May,CAW00064757
735Q,Jun,CAW00064757
789Q,Jul,CAW00064757
772Q,Aug,CAW00064757
700Q,Sep,CAW00064757
569Q,Oct,CAW00064757
436Q,Nov,CAW00064757
323Q,Dec,CAW00064757
812R,Jan,CQC00914080
797R,Feb,CQC00914080
798P,Mar,CQC00914080
831R,Apr,CQC00914080
844R,May,CQC00914080
850R,Jun,CQC00914080
841R,Jul,CQC00914080
840R,Aug,CQC00914080
838R,Sep,CQC00914080
837R,Oct,CQC00914080
833R,Nov,CQC00914080
814R,Dec,CQC00914080
836R,Jan,CQC00914801
832R,Feb,CQC00914801
839R,Mar,CQC00914801
852R,Apr,CQC00914801
865R,May,CQC00914801
873R,Jun,CQC00914801
867R,Jul,CQC00914801
865R,Aug,CQC00914801
867R,Sep,CQC00914801
865R,Oct,CQC00914801
859R,Nov,CQC00914801
848R,Dec,CQC00914801
871P,Jan,FMC00914395
874P,Feb,FMC00914395
875P,Mar,FMC00914395
875P,Apr,FMC00914395
877P,May,FMC00914395
880P,Jun,FMC00914395
883P,Jul,FMC00914395
888P,Aug,FMC00914395
890P,Sep,FMC00914395
889P,Oct,FMC00914395
886P,Nov,FMC00914395
875P,Dec,FMC00914395
884P,Jan,FMC00914419
883P,Feb,FMC00914419
885P,Mar,FMC00914419
885P,Apr,FMC00914419
886P,May,FMC00914419
888P,Jun,FMC00914419
887P,Jul,FMC00914419
886P,Aug,FMC00914419
890P,Sep,FMC00914419
888P,Oct,FMC00914419
892P,Nov,FMC00914419
886P,Dec,FMC00914419
860P,Jan,FMC00914446
861P,Feb,FMC00914446
869P,Mar,FMC00914446
883P,Apr,FMC00914446
884P,May,FMC00914446
879P,Jun,FMC00914446
869P,Jul,FMC00914446
865P,Aug,FMC00914446
869P,Sep,FMC00914446
873P,Oct,FMC00914446
876P,Nov,FMC00914446
867P,Dec,FMC00914446
855R,Jan,FMC00914482
856R,Feb,FMC00914482
860R,Mar,FMC00914482
863R,Apr,FMC00914482
872R,May,FMC00914482
874R,Jun,FMC00914482
875R,Jul,FMC00914482
880R,Aug,FMC00914482
881R,Sep,FMC00914482
881R,Oct,FMC00914482
876R,Nov,FMC00914482
862R,Dec,FMC00914482
890R,Jan,FMC00914720
897R,Feb,FMC00914720
896R,Mar,FMC00914720
898R,Apr,FMC00914720
899R,May,FMC00914720
898R,Jun,FMC00914720
896R,Jul,FMC00914720
895R,Aug,FMC00914720
896R,Sep,FMC00914720
895R,Oct,FMC00914720
895R,Nov,FMC00914720
893R,Dec,FMC00914720
894P,Jan,FMC00914761
895P,Feb,FMC00914761
900P,Mar,FMC00914761
897P,Apr,FMC00914761
899P,May,FMC00914761
899P,Jun,FMC00914761
900P,Jul,FMC00914761
896P,Aug,FMC00914761
898P,Sep,FMC00914761
902P,Oct,FMC00914761
903P,Nov,FMC00914761
898P,Dec,FMC00914761
853P,Jan,FMC00914831
851P,Feb,FMC00914831
859P,Mar,FMC00914831
868P,Apr,FMC00914831
871P,May,FMC00914831
867P,Jun,FMC00914831
864P,Jul,FMC00914831
862P,Aug,FMC00914831
862P,Sep,FMC00914831
870P,Oct,FMC00914831
865P,Nov,FMC00914831
857P,Dec,FMC00914831
871P,Jan,FMC00914892
871P,Feb,FMC00914892
873P,Mar,FMC00914892
881P,Apr,FMC00914892
884P,May,FMC00914892
878P,Jun,FMC00914892
873P,Jul,FMC00914892
875P,Aug,FMC00914892
880P,Sep,FMC00914892
889P,Oct,FMC00914892
885P,Nov,FMC00914892
876P,Dec,FMC00914892
870P,Jan,FMC00914898
876P,Feb,FMC00914898
874P,Mar,FMC00914898
870P,Apr,FMC00914898
875P,May,FMC00914898
873P,Jun,FMC00914898
879P,Jul,FMC00914898
879P,Aug,FMC00914898
878P,Sep,FMC00914898
881P,Oct,FMC00914898
879P,Nov,FMC00914898
875P,Dec,FMC00914898
876P,Jan,FMC00914911
874P,Feb,FMC00914911
876P,Mar,FMC00914911
884P,Apr,FMC00914911
882P,May,FMC00914911
878P,Jun,FMC00914911
880P,Jul,FMC00914911
879P,Aug,FMC00914911
882P,Sep,FMC00914911
884P,Oct,FMC00914911
887P,Nov,FMC00914911
879P,Dec,FMC00914911
