Name,House
Parvati Patil,Gryffindor
Gilderoy Lockhart,Ravenclaw
Regulus Arcturus Black,Slytherin
Walden Macnair,Slytherin
Charles Weasley,Gryffindor
Hannah Abbott,Hufflepuff
Scorpius Hyperion Malfoy,Slytherin
Rodolphus Lestrange,Slytherin
Pansy Parkinson,Slytherin
Neville Longbottom,Gryffindor
(Bill) William Arthur Weasley,Gryffindor
Peter Pettigrew,Gryffindor
Theodore Nott,Slytherin
Quirinus Quirrell,Ravenclaw
Marcus Flint,Slytherin
Padma Patil,Ravenclaw
Susan Bones,Hufflepuff
Cedric Diggory,Hufflepuff
Molly Weasley,Gryffindor
Millicent Bulstrode,Slytherin
Alecto Carrow,Slytherin
Percy Ignatius Weasley,Gryffindor
Gregory Goyle,Slytherin
Dean Thomas,Gryffindor
Lee Jordan ,Gryffindor
Colin Creevey,Gryffindor
Harry James Potter,Gryffindor
Romilda Vane,Gryffindor
Pomona Sprout,Hufflepuff
Alicia Spinnet,Gryffindor
Ernest Macmillan,Hufflepuff
Myrtle Elizabeth Warren (Moaning Myrtle),Ravenclaw
Marcus Belby,Ravenclaw
Lily J. Potter,Gryffindor
Lucius Malfoy,Slytherin
Michael Corner,Ravenclaw
Fat Friar,Hufflepuff
Fred Weasley,Gryffindor
Marietta Edgecombe,Ravenclaw
Salazar Slytherin,Slytherin
Draco Malfoy,Slytherin
Filius Flitwick,Ravenclaw
Terry Boot,Ravenclaw
Minerva McGonagall,Gryffindor
Cormac McLaggen,Gryffindor
Graham Montague,Slytherin
Ronald Bilius Weasley,Gryffindor
Tom Marvolo Riddle,Slytherin
James Sirius Potter,Gryffindor
Cho Chang,Ravenclaw
Katie Bell,Gryffindor
Roger Davies,Ravenclaw
Amycus Carrow,Slytherin
Seamus Finnigan,Gryffindor
Albus Percival Wulfric Brian Dumbledore,Gryffindor
Rubeus Hagrid,Gryffindor
James Potter,Gryffindor
Oliver Wood,Gryffindor
Rose Granger-Weasley,Gryffindor
Edgar Bones,Hufflepuff
Vincent Crabbe,Slytherin
Edward Remus Lupin,Hufflepuff
Helena Ravenclaw,Ravenclaw
Dennis Creevey,Gryffindor
Angelina Johnson,Gryffindor
Ginevra (Ginny) Molly Weasley,Gryffindor
Remus John Lupin,Gryffindor
Blaise Zabini,Slytherin
Hermione Jean Granger,Gryffindor
Lavender Brown,Gryffindor
Helga Hufflepuff,Hufflepuff
Penelope Clearwater,Ravenclaw
Arthur Weasley,Gryffindor
Nymphadora Tonks,Hufflepuff
Godric Gryffindor,Gryffindor
Anthony Goldstein,Ravenclaw
Albus Severus Potter,Slytherin
George Weasley,Gryffindor
Newton Scamander,Hufflepuff
Augustus Rookwood,Slytherin
Garrick Ollivander,Ravenclaw
Corban Yaxley,Slytherin
Antonin Dolohov,Slytherin
Horace Eugene Flaccus Slughorn,Slytherin
Rowena Ravenclaw,Ravenclaw
Bloody Baron,Slytherin
Luna Lovegood,Ravenclaw
Dolores Jane Umbridge,Slytherin
Sybill Patricia Trelawney,Ravenclaw
Zacharias Smith,Hufflepuff
Narcissa Malfoy,Slytherin
Nicholas de Mimsy-Porpington,Gryffindor
Justin Finch-Fletchley,Hufflepuff
Sirius Black,Gryffindor
Bellatrix Lestrange,Slytherin
Frank Longbottom,Gryffindor
Severus Snape,Slytherin
