date,domestic_box_office
12/7/21,121964712
12/8/21,73941279
12/9/21,64232578
12/10/21,37138318
12/11/21,31408657
12/12/21,27846311
12/13/21,29333622
12/14/21,19655506
12/15/21,31609749
12/16/21,33283250
12/17/21,24770593
12/18/21,21346817
12/19/21,20327774
12/20/21,20717908
12/21/21,15407695
12/22/21,23112936
12/23/21,17502959
12/24/21,7908732
12/25/21,5918802
12/26/21,4383219
12/27/21,3926778
12/28/21,8303811
12/29/21,14828927
12/30/21,9485183
12/31/21,2426248
1/1/22,2787987
1/2/22,2242906
1/3/22,2110817
1/4/22,5150000
,
